Round,Client0_Acc,Client1_Acc,Client2_Acc
1,0.5621035944583804,0.5351479912913123,0.8726744194363438
2,0.5845665959424751,0.4624735726866611,0.8340116281842076
3,0.5738636366156644,0.5590644825336545,0.8372093023255814
4,0.6774577179620432,0.573070824839348,0.8851744186046512
5,0.6950317122215448,0.6523520087086877,0.9264534892037858
6,0.7422040174173754,0.7001849898072177,0.9395348845526229
7,0.7958509520042775,0.7474894294905108,0.9357558142307193
8,0.8627114171205565,0.791886892429618,0.953779069490211
9,0.8786997892135797,0.835095138050789,0.8808139534883721
10,0.894688161306603,0.838134249975515,0.9593023255813954
